date_string,sp500,dividend,dividend,earnings,earnings,cpi,cape,real_price,long_interest_rate
1912-02-01,9.04,0.4717,16.63215798895943,0.6083,21.44867861921565,9.229089256,13.531634369686586,318.75070642398396,4.046666666666667
1912-03-01,9.3,0.4725,16.3237235088163,0.6175,21.333120141151465,9.419419835,13.639769173944163,321.29233572908277,4.083333333333333
1912-04-01,9.59,0.4733,15.870475282327563,0.6267,21.014212675754667,9.704834711,13.654392690553228,321.56741592546234,4.12
1912-05-01,9.58,0.4742,15.900653663384176,0.6358,21.31934963977153,9.704834711,13.645500685612367,321.2321005803889,4.156666666666666
1912-06-01,9.58,0.475,16.08520993055293,0.645,21.842021905698196,9.609669421,13.785417404502523,324.4132865993623,4.193333333333333
1912-07-01,9.59,0.4758,16.11230081043597,0.6542,22.153567024353112,9.609669421,13.802876645015774,324.75192259790026,4.23
1912-08-01,9.81,0.4767,15.984482499652545,0.6633,22.241466838723582,9.704834711,13.984761763426272,328.9443535170788,4.266666666666667
1912-09-01,9.86,0.4775,15.855826020408166,0.6725,22.330980102040822,9.8,13.926285001315868,327.4103551020409,4.303333333333334
1912-10-01,9.84,0.4783,15.882390755102044,0.6817,22.636474551020413,9.8,13.905092701178464,326.746236734694,4.34
1912-11-01,9.73,0.4792,15.91227608163266,0.6908,22.93864840816327,9.8,13.749541018606532,323.09358571428584,4.376666666666667
1912-12-01,9.38,0.48,16.09513656352679,0.7,23.472074155143236,9.704834711,13.388999452579627,314.5257936789194,4.413333333333333
1913-01-01,9.3,0.48,15.938840816326534,0.6942,23.05154853061225,9.8,13.148088791761557,308.81504081632664,4.45
1913-02-01,8.97,0.48,15.938840816326534,0.6883,22.855633612244905,9.8,12.682960516236756,297.85708775510216,4.425833333333333
1913-03-01,8.8,0.48,15.938840816326534,0.6825,22.66303928571429,9.8,12.443453515183656,292.21208163265317,4.401666666666667
1913-04-01,8.79,0.48,15.938840816326534,0.6767,22.470444959183677,9.8,12.433067081795162,291.8800224489797,4.3775
1913-05-01,8.55,0.48,16.103158762886604,0.6708,22.504164371134028,9.7,12.221401061154118,286.83751546391767,4.3533333333333335
1913-06-01,8.12,0.48,15.938840816326534,0.665,22.081935714285724,9.8,11.491962852761224,269.6320571428572,4.3291666666666675
1913-07-01,8.23,0.48,15.77784242424243,0.6592,21.668236929292938,9.9,11.534022795459855,270.5242565656567,4.305
1913-08-01,8.45,0.48,15.77784242424243,0.6533,21.474300949494957,9.9,11.846840543564625,277.75576767676773,4.280833333333334
1913-09-01,8.53,0.48,15.620064000000005,0.6475,21.070815500000005,10,11.84331682662597,277.5815540000001,4.256666666666667
1913-10-01,8.26,0.48,15.620064000000005,0.6417,20.88207306000001,10,11.471490240312288,268.7952680000001,4.2325
1913-11-01,8.05,0.48,15.465409900990105,0.6358,20.48522419801981,10.1,11.072537845038008,259.3678118811883,4.208333333333334
1913-12-01,8.04,0.48,15.620064000000005,0.63,20.501334000000007,10,11.174040870036793,261.63607200000007,4.184166666666667
1914-01-01,8.37,0.475,15.457355000000003,0.6208,20.201949440000007,10,11.63609210504613,272.37486600000005,4.16
1914-02-01,8.48,0.47,15.44913737373738,0.6117,20.106887939393946,9.9,11.910233879798238,278.74188282828294,4.166666666666667
1914-03-01,8.32,0.465,15.284784848484856,0.6025,19.8044792929293,9.9,11.685526018836825,273.48260202020214,4.173333333333334
1914-04-01,8.12,0.46,15.274722448979597,0.5933,19.701071367346945,9.8,11.522662536200228,269.6320571428572,4.18
1914-05-01,8.17,0.455,14.956079797979804,0.5842,19.202949050505058,9.9,11.479008694164479,268.5520262626264,4.1866666666666665
1914-06-01,8.13,0.45,14.791727272727277,0.575,18.90054040404041,9.9,11.42871516883188,267.2372060606062,4.193333333333333
1914-07-01,7.68,0.445,14.481101000000006,0.5658,18.412150440000005,10,10.694345183040134,249.92102400000007,4.2
1914-08-01,7.68,0.44,14.037639215686282,0.5567,17.760803980392165,10.2,10.492046265076432,245.020611764706,4.206666666666667
1914-09-01,7.68,0.435,13.8781205882353,0.5475,17.46728970588236,10.2,10.50049730180213,245.020611764706,4.213333333333333
1914-10-01,7.68,0.43,13.854429702970302,0.5383,17.343812811881193,10.1,10.61275946612622,247.44655841584168,4.220000000000001
1914-11-01,7.68,0.425,13.55908333333334,0.5292,16.883451529411772,10.2,10.51691764299212,245.020611764706,4.226666666666667
1914-12-01,7.35,0.42,13.532233663366341,0.52,16.754194059405947,10.1,10.172217991997863,236.81408910891096,4.233333333333333
1915-01-01,7.48,0.4208,13.558009346534659,0.55,17.720782178217828,10.1,10.359834197757268,241.00263762376247,4.24
1915-02-01,7.38,0.4217,13.722877060000005,0.58,18.874244000000004,10,10.329786209660693,240.1584840000001,4.224166666666667
1915-03-01,7.57,0.4225,13.887788383838389,0.61,20.05100808080809,9.9,10.707013188682813,248.82972323232332,4.208333333333334
1915-04-01,8.14,0.4233,13.774943940000005,0.64,20.826752000000006,10,11.401123789000186,264.8902520000001,4.1925
1915-05-01,7.95,0.4242,13.667556000000006,0.67,21.58713465346536,10.1,11.026929876471316,256.1458514851486,4.176666666666667
1915-06-01,8.04,0.425,13.693331683168322,0.7,22.553722772277236,10.1,11.154262189096341,259.0456158415842,4.160833333333333
1915-07-01,8.01,0.4258,13.71910736633664,0.73,23.520310891089117,10.1,11.113629393949603,258.07902772277237,4.145
